Date,Price,Open,High,Low,Vol.,Change %
6-Jul-20,372.5,365.5,373.5,365.25,34.41K,2.34%
3-Jul-20,364,364.25,366,360,19.89K,0.28%
2-Jul-20,363,355.5,367.25,355.5,31.44K,1.54%
1-Jul-20,357.5,354,363,350.5,45.24K,1.49%
30-Jun-20,352.25,348.25,356.5,345.75,51.08K,1.22%
29-Jun-20,348,338.75,351.25,336.25,26.34K,2.65%
26-Jun-20,339,347,351.75,337,38.52K,-1.60%
25-Jun-20,344.5,344.25,349.75,336,56.15K,-0.36%
24-Jun-20,345.75,358.5,361.5,340,51.92K,-5.98%
23-Jun-20,367.75,364.75,370.5,357.5,51.12K,0.89%
22-Jun-20,364.5,358.5,364.75,356.75,57.10K,0.00%
19-Jun-20,364.5,356,365.75,349.75,80.03K,3.04%
18-Jun-20,353.75,349,356,347,66.63K,1.22%
17-Jun-20,349.5,346.75,354.5,343.5,84.42K,1.01%
16-Jun-20,346,338,354.25,333.25,82.32K,4.69%
15-Jun-20,330.5,328.75,339,319.75,75.27K,0.61%
12-Jun-20,328.5,319.5,334,312.25,73.24K,-2.23%
11-Jun-20,336,335.5,337,330.5,3.49K,0.00%
10-Jun-20,336,331.25,343.25,328.5,29.01K,2.13%
9-Jun-20,329,328.25,335.5,320.5,38.45K,-0.30%
8-Jun-20,330,336,345.75,324.75,31.76K,-0.15%
5-Jun-20,330.5,310.25,335.75,310.25,42.96K,9.26%
4-Jun-20,302.5,309,312.75,301.75,39.67K,-1.55%
3-Jun-20,307.25,315.5,321.75,303.5,43.98K,-2.15%
2-Jun-20,314,298,317.25,297.5,45.33K,6.89%
1-Jun-20,293.75,297.75,303.5,291.75,37.83K,3.52%
29-May-20,283.75,282,301.75,274.75,51.67K,0.98%
28-May-20,281,284.5,290.25,278.75,58.88K,-2.01%
27-May-20,286.75,298.5,300.75,285,43.66K,-3.45%
26-May-20,297,300.75,310.25,293.75,50.08K,-0.92%
25-May-20,299.75,289.5,301.75,289.5,9.58K,4.17%
22-May-20,287.75,295.75,297.75,280,55.05K,-2.95%
21-May-20,296.5,297.25,307.5,294.5,50.61K,-1.00%
20-May-20,299.5,288,307,288,72.24K,3.19%
19-May-20,290.25,306.25,306.25,285.75,83.87K,-4.13%
18-May-20,302.75,272.5,305.75,272.5,90.16K,12.23%
15-May-20,269.75,266.75,277.5,262.25,87.12K,5.68%
14-May-20,255.25,245.25,267.5,243,98.22K,4.08%
13-May-20,245.25,241.5,253.5,237.5,102.87K,2.19%
12-May-20,240,238,244.25,238,4.59K,0.00%
11-May-20,240,249,254,237.25,25.31K,-0.93%
8-May-20,242.25,234,252.75,232.5,11.10K,1.89%
7-May-20,237.75,233.75,248.75,227.5,34.34K,4.28%
6-May-20,228,259,259,224.75,34.54K,-5.69%
5-May-20,241.75,230,255,228,38.98K,14.71%
4-May-20,210.75,217.5,229.75,210,32.67K,-4.20%
1-May-20,220,240,240,216,29.22K,-7.07%
30-Apr-20,236.75,213.25,241.75,213,48.69K,13.55%
29-Apr-20,208.5,192.75,219.25,190.75,42.89K,8.88%
28-Apr-20,191.5,192.25,198.75,181,34.08K,0.39%
27-Apr-20,190.75,202.75,206.25,187.5,36.15K,-6.95%
24-Apr-20,205,214,222.25,199.5,58.14K,-9.99%
23-Apr-20,227.75,212,237.25,211.75,45.87K,7.43%
22-Apr-20,212,220,231.5,188.25,73.15K,-1.85%
21-Apr-20,216,262.75,264.75,204.5,104.27K,-17.48%
20-Apr-20,261.75,275.75,278.75,256.25,76.84K,-4.99%
17-Apr-20,275.5,276.5,283,271,94.22K,1.66%
16-Apr-20,271,269.25,280.25,261.25,101.39K,3.93%
